Cód Transacción	Cód Transacción	Descripción Transacción	Artículo	Descripción Artículo	Planta	Desc. Planta	Cód. Configuración	Dirección	Cantidad	UdM	Dirección Paralela	Ctd Paralela	UdM Paralela	Ubicación	Almacén	Cajón	Fila	Nivel	Caja	Nº Lote	Nº Serie	Cód. Condición	Desc. Cód. Condición	Nº R/D/R	Nº Rev	Fecha Caducidad	Ref Orden 1	Ref Orden 2	Ref Orden 3	Ref Orden 4	Tipo Orden	Coste	Coste Inventario	Coste Total	Creado	Hora Creación	Nota	Realizado Por	Fecha Aplicada	Incl en Art Agr por Periodo	Incl.Valor Agreg. por Per.	Devol/Deshec	Propiedad	Propietario	Nombre Propietario	Propiedad Previo	Propietario Previo	Nombre Propietario Previo	Cód. Programa	Descripción de Programa	Cód Proyecto	Nombre Proyecto	Cód Subproyecto	Descripción Subproyecto	Cód Actividad	Descripción Actividad	Secuencia Actividad	Tiene Errores Contab	Tiene Contab Trasnferidas	Cód Inf Trans Inv	Fecha Aplicada Fecha Modificación	Fecha Aplicada Modificada por Usuario
"1,564,178"	ARRIVAL	Recepción de Orden de Compra	P02.002.AO0369	ORING EN NITRILO DI= 111- E= 3.5 MM	05M-O	TERMOPICHINCHA M-O	*	+	4	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042245	4	1	1	Orden Compra	11.2	44.8	44.8	22/02/2016	16:15:42		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249169		
"1,564,179"	ARRIVAL	Recepción de Orden de Compra	02.020.SE0018	SELLO DE PISTON K 01	05M-O	TERMOPICHINCHA M-O	*	+	4	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		P100042245	5	1	1	Orden Compra	216.5	865.98	865.98	22/02/2016	16:15:43		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249169		
"1,564,180"	ARRIVAL	Recepción de Orden de Compra	01.020.SA0054	SELLO DE ACEITE (RETENEDOR 21 X 32 X 8 )	05M-O	TERMOPICHINCHA M-O	*	+	4	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		P100042245	6	1	1	Orden Compra	90.38	361.54	361.54	22/02/2016	16:15:43		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249169		
"1,564,428"	WOISS	Emitir para Orden de Trabajo	P02.033.RE0001	RETAZOS - TRAPOS	05M-O	TERMOPICHINCHA M-O	*	-	8	lb				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		65	*		4	Orden Trabajo	2.81	22.49	22.49	22/02/2016	17:26:39		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,429"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0017	LIJA DE AGUA 120	05M-O	TERMOPICHINCHA M-O	*	-	8	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		5	Orden Trabajo	0.43	3.46	3.46	22/02/2016	17:26:40		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,430"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0008	LIJA DE AGUA 100	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		65	*		6	Orden Trabajo	0.44	0.88	0.88	22/02/2016	17:26:41		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,431"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0015	LIJA DE AGUA 180	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		7	Orden Trabajo	0.37	0.75	0.75	22/02/2016	17:26:41		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,432"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0016	LIJA DE AGUA 240	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		8	Orden Trabajo	0.38	0.76	0.76	22/02/2016	17:26:42		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,433"	WOISS	Emitir para Orden de Trabajo	P02.006.BR0003	"BROCHAS 2"""	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		9	Orden Trabajo	3.42	3.42	3.42	22/02/2016	17:26:42		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,434"	WOISS	Emitir para Orden de Trabajo	P02.005.AR0090	"ARANDELA  PLANA 3/8"""	05M-O	TERMOPICHINCHA M-O	*	-	4	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		10	Orden Trabajo	0.12	0.48	0.48	22/02/2016	17:26:43		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,435"	WOISS	Emitir para Orden de Trabajo	P02.016.TH0007	THINNER LACA	05M-O	TERMOPICHINCHA M-O	*	-	4	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		65	*		11	Orden Trabajo	12.53	50.11	50.11	22/02/2016	17:26:43		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,436"	WOISS	Emitir para Orden de Trabajo	P02.016.PN0181	PINTURA ESMALTE AZUL COLONIAL	05M-O	TERMOPICHINCHA M-O	*	-	1	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		65	*		12	Orden Trabajo	24.97	24.97	24.97	22/02/2016	17:26:44		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,437"	WOISS	Emitir para Orden de Trabajo	P02.005.TN0207	"TORNILLO PARA MADERA 8 X 1 1/2 """	05M-O	TERMOPICHINCHA M-O	*	-	62	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		65	*		13	Orden Trabajo	0.02	1.39	1.39	22/02/2016	17:26:44		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,438"	WOISS	Emitir para Orden de Trabajo	P02.005.TN0188	"TORNILLO AUTOPERFORANTE 3/16 X 1"""	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		14	Orden Trabajo	0.06	0.64	0.64	22/02/2016	17:26:44		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,439"	WOISS	Emitir para Orden de Trabajo	P02.005.TN0235	TORNILLO COLEPATO 8 X 1	05M-O	TERMOPICHINCHA M-O	*	-	5	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		65	*		15	Orden Trabajo	0.02	0.12	0.12	22/02/2016	17:26:45		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,440"	WOISS	Emitir para Orden de Trabajo	P02.006.ES0003	"ESPATULA 1"""	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		16	Orden Trabajo	3.13	3.13	3.13	22/02/2016	17:26:46		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,441"	WOISS	Emitir para Orden de Trabajo	P02.006.CE0010	CEPILLO DE ACERO 6 FILAS	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		65	*		17	Orden Trabajo	3.55	3.55	3.55	22/02/2016	17:26:46		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,442"	WOISS	Emitir para Orden de Trabajo	P02.028.RM0016	"REMACHE POP 3/16 X 1/2"""	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		65	*		18	Orden Trabajo	0.01	0.11	0.11	22/02/2016	17:26:47		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,564,443"	WOISS	Emitir para Orden de Trabajo	P02.005.TN0033	"TORNILLO PARA MADERA 2 1/2 X 1/4"""	05M-O	TERMOPICHINCHA M-O	*	-	50	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		65	*		19	Orden Trabajo	0.07	3.72	3.72	22/02/2016	17:26:48		VTIXE	22/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	249189		
"1,582,556"	ARRIVAL	Recepción de Orden de Compra	P03.002.LC0030	BELZONA CERAMICO (S)  METAL	05M-O	TERMOPICHINCHA M-O	*	+	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	9	1	1	Orden Compra	226.11	226.11	226.11	07/03/2016	19:50:56		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,557"	ARRIVAL	Recepción de Orden de Compra	P03.002.LC0031	BELZONA MEMBRANA FLEXIBLE LEGSEAL 3111.	05M-O	TERMOPICHINCHA M-O	*	+	4	KILOGRAMOS				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	10	1	1	Orden Compra	77.28	309.12	309.12	07/03/2016	19:50:57		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,558"	ARRIVAL	Recepción de Orden de Compra	P03.002.LC0033	PROTECTOR DE CONCRETO Y LECHADA.	05M-O	TERMOPICHINCHA M-O	*	+	20	KILOGRAMOS				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	11	1	1	Orden Compra	33.88	677.6	677.6	07/03/2016	19:50:57		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,559"	ARRIVAL	Recepción de Orden de Compra	P03.002.ME0011	MEMBRANA FLEXIBLE IMPERMEABILIZANTE.	05M-O	TERMOPICHINCHA M-O	*	+	15	l				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	12	1	1	Orden Compra	87.06	"1,305.90"	"1,305.90"	07/03/2016	19:50:58		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,560"	ARRIVAL	Recepción de Orden de Compra	P03.002.PR0007	QUIMICO DE LIMPIEZA BATERIA (PROTECTOR BORNE)	05M-O	TERMOPICHINCHA M-O	*	+	23	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	13	1	1	Orden Compra	13.01	299.23	299.23	07/03/2016	19:50:58		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,561"	ARRIVAL	Recepción de Orden de Compra	P03.002.PR0008	PROTECTOR ACRILICO  SPRAY	05M-O	TERMOPICHINCHA M-O	*	+	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	14	1	1	Orden Compra	5	5	5	07/03/2016	19:50:58		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,562"	ARRIVAL	Recepción de Orden de Compra	P03.004.DI0031	DESENGRASANTE  BIODEGRADABLE.	05M-O	TERMOPICHINCHA M-O	*	+	20	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	15	1	1	Orden Compra	97.99	"1,959.80"	"1,959.80"	07/03/2016	19:50:59		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,563"	ARRIVAL	Recepción de Orden de Compra	P03.004.DI0034	"DESENGRASANTE INDUSTRIAL, BASE DE SOYA"	05M-O	TERMOPICHINCHA M-O	*	+	55	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	16	1	1	Orden Compra	18.12	996.6	996.6	07/03/2016	19:50:59		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,564"	ARRIVAL	Recepción de Orden de Compra	P03.005.BZ0010	BARNIZ TRANSPARENTE (DIELECTRICO ) - TARRO	05M-O	TERMOPICHINCHA M-O	*	+	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	17	1	1	Orden Compra	40.92	81.84	81.84	07/03/2016	19:51:00		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,565"	ARRIVAL	Recepción de Orden de Compra	P03.005.BZ0011	BARNIZ DIELECTRICO ROJO EN AEREOSOL.	05M-O	TERMOPICHINCHA M-O	*	+	23	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	18	1	1	Orden Compra	14.24	327.52	327.52	07/03/2016	19:51:00		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,566"	ARRIVAL	Recepción de Orden de Compra	P03.006.GA0005	GALVANIZANTE  SPRAY	05M-O	TERMOPICHINCHA M-O	*	+	9	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	19	1	1	Orden Compra	26.94	242.46	242.46	07/03/2016	19:51:00		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,567"	ARRIVAL	Recepción de Orden de Compra	P03.006.GA0006	GALVANIZANTE EN FRIO	05M-O	TERMOPICHINCHA M-O	*	+	0.75	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	20	1	1	Orden Compra	6.55	4.91	4.91	07/03/2016	19:51:01		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,568"	ARRIVAL	Recepción de Orden de Compra	P03.008.LI0035	LIMPIADOR DE BORNES DE BATERIA - TARRO	05M-O	TERMOPICHINCHA M-O	*	+	33	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	21	1	1	Orden Compra	18.21	600.93	600.93	07/03/2016	19:51:01		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,569"	ARRIVAL	Recepción de Orden de Compra	P03.008.LI0037	LIMPIADOR DE CONTACTOS  ELECTRONICOS	05M-O	TERMOPICHINCHA M-O	*	+	18	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	22	1	1	Orden Compra	16.9	304.2	304.2	07/03/2016	19:51:01		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,570"	ARRIVAL	Recepción de Orden de Compra	P03.008.LI0038	LIMPIADOR DE MOTORES ELECTRICOS	05M-O	TERMOPICHINCHA M-O	*	+	538	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	23	1	1	Orden Compra	27.16	"14,612.08"	"14,612.08"	07/03/2016	19:51:02		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,571"	ARRIVAL	Recepción de Orden de Compra	P03.008.LI0041	"GEL ALCOHOL ANTISECPTICO PARA MANOS, 500 CC"	05M-O	TERMOPICHINCHA M-O	*	+	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	24	1	1	Orden Compra	4.5	45	45	07/03/2016	19:51:02		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,572"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0066	MATERIAL AISLANTE CINTA AISLANTE-  ROLLO	05M-O	TERMOPICHINCHA M-O	*	+	16	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	25	1	1	Orden Compra	0.93	14.88	14.88	07/03/2016	19:51:02		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,573"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0069	MATERIAL AISLANTE CINTA DE AISLAMIENTO-  ROLLO	05M-O	TERMOPICHINCHA M-O	*	+	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	26	1	1	Orden Compra	1.78	1.78	1.78	07/03/2016	19:51:02		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,574"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0070	MATERIAL AISLANTE PAQUETES - PAQUETE	05M-O	TERMOPICHINCHA M-O	*	+	3	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	27	1	1	Orden Compra	1.66	4.98	4.98	07/03/2016	19:51:03		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,575"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0071	MATERIAL AISLANTE TAYPE- ROLLO	05M-O	TERMOPICHINCHA M-O	*	+	109	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	28	1	1	Orden Compra	0.81	88.29	88.29	07/03/2016	19:51:03		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,576"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0072	MATERIAL AISLANTE VARIOUS INASULATING	05M-O	TERMOPICHINCHA M-O	*	+	263	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	29	1	1	Orden Compra	1.66	436.58	436.58	07/03/2016	19:51:04		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,577"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0073	MATERIAL AISLANTE VARIOUS INSULATIG  MATERIAL	05M-O	TERMOPICHINCHA M-O	*	+	138	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	30	1	1	Orden Compra	1.6	220.8	220.8	07/03/2016	19:51:04		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,578"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0074	MATERIAL AISLANTE VARIOUS INSULATING MATERIAL (PLACAS PLASTICAS)	05M-O	TERMOPICHINCHA M-O	*	+	138	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	31	1	1	Orden Compra	1.6	220.8	220.8	07/03/2016	19:51:04		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,582,579"	ARRIVAL	Recepción de Orden de Compra	P03.010.MT0075	MATERIAL AISLANTE VARIOUS INSULATING MATERIAL MATERIAL PARA SOLDAR	05M-O	TERMOPICHINCHA M-O	*	+	10	KILOGRAMOS				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100042773	32	1	1	Orden Compra	1.66	16.6	16.6	07/03/2016	19:51:05		VTIXE	29/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	251921	08/03/2016 11:14	VTIXE
"1,602,023"	WOISS	Emitir para Orden de Trabajo	P02.006.BR0007	"BROCHAS 2 1/2"""	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	65	*		40	Orden Trabajo	3.95	3.95	3.95	22/03/2016	13:41:41		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254544		
"1,602,250"	WOISS	Emitir para Orden de Trabajo	P02.014.CN0010	CINTA DUCTO PLASTIFICADA- ROLLO	05M-O	TERMOPICHINCHA M-O	*	-	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		72	*		45	Orden Trabajo	17.5	35	35	22/03/2016	14:45:09		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,251"	WOISS	Emitir para Orden de Trabajo	P02.021.TM0027	TOMA PROTECTOR MULTIPLE	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	72	*		46	Orden Trabajo	17.1	17.1	17.1	22/03/2016	14:45:10		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,252"	WOISS	Emitir para Orden de Trabajo	P02.030.IN0014	CONMUTADOR DOBLE (CUATRO TERMINALES)	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	72	*		47	Orden Trabajo	2.94	2.94	2.94	22/03/2016	14:45:11		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,253"	WOISS	Emitir para Orden de Trabajo	P02.033.RE0001	RETAZOS - TRAPOS	05M-O	TERMOPICHINCHA M-O	*	-	5	lb				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		72	*		48	Orden Trabajo	2.81	14.06	14.06	22/03/2016	14:45:12		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,254"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0013	LIJA DE HIERRO 50	05M-O	TERMOPICHINCHA M-O	*	-	5	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		72	*		49	Orden Trabajo	2.1	10.52	10.52	22/03/2016	14:45:13		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,255"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0017	LIJA DE AGUA 120	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	72	*		50	Orden Trabajo	0.43	4.33	4.33	22/03/2016	14:45:14		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,256"	WOISS	Emitir para Orden de Trabajo	P02.006.ES0003	"ESPATULA 1"""	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	72	*		51	Orden Trabajo	3.13	3.13	3.13	22/03/2016	14:45:15		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,257"	WOISS	Emitir para Orden de Trabajo	P02.006.LJ0015	LIJA DE AGUA 180	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	72	*		52	Orden Trabajo	0.37	0.37	0.37	22/03/2016	14:45:16		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,258"	WOISS	Emitir para Orden de Trabajo	P03.001.PE0008	"PENETRANTE, DESOXIDANTE"	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		72	*		53	Orden Trabajo	10.25	10.25	10.25	22/03/2016	14:45:16		VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254566		
"1,602,312"	INTSHIP	Consumo para Solic.Material	P05.047.EX0031	"EXTENSION MANDO 3/8"" X 3"""	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		183749	1	1	1	Solicitud Material	1.44	1.44	1.44	22/03/2016	15:16:02	INT	VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254576		
"1,602,342"	INTSHIP	Consumo para Solic.Material	P01.002.BM0109	"BOMBA MANUAL 3/4"", PARA EXTRAER LIQUIDO"	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		183751	1	1	1	Solicitud Material	40.43	40.43	40.43	22/03/2016	15:32:28	INT	VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254587		
"1,602,343"	INTSHIP	Consumo para Solic.Material	P05.010.FX0002	FLEXOMETRO DE 5 METROS	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	183751	2	1	1	Solicitud Material	8.65	8.65	8.65	22/03/2016	15:32:28	INT	VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254587		
"1,602,344"	INTSHIP	Consumo para Solic.Material	P05.020.TJ0006	"TIJERA DE SASTRE DE 12 """	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	183751	3	1	1	Solicitud Material	27.05	27.05	27.05	22/03/2016	15:32:28	INT	VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254587		
"1,602,345"	INTSHIP	Consumo para Solic.Material	P03.027.PA0009	PASTA PARA DETECTAR AGUA EN COMBUSTIBLES (TUBO)	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		183751	4	1	1	Solicitud Material	13.1	13.1	13.1	22/03/2016	15:32:29	INT	VTIXE	22/03/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	254587		
