Cód Transacción	Cód Transacción	Descripción Transacción	Artículo	Descripción Artículo	Planta	Desc. Planta	Cód. Configuración	Dirección	Cantidad	UdM	Dirección Paralela	Ctd Paralela	UdM Paralela	Ubicación	Almacén	Cajón	Fila	Nivel	Caja	Nº Lote	Nº Serie	Cód. Condición	Desc. Cód. Condición	Nº R/D/R	Nº Rev	Fecha Caducidad	Ref Orden 1	Ref Orden 2	Ref Orden 3	Ref Orden 4	Tipo Orden	Coste	Coste Inventario	Coste Total	Creado	Hora Creación	Nota	Realizado Por	Fecha Aplicada	Incl en Art Agr por Periodo	Incl.Valor Agreg. por Per.	Devol/Deshec	Propiedad	Propietario	Nombre Propietario	Propiedad Previo	Propietario Previo	Nombre Propietario Previo	Cód. Programa	Descripción de Programa	Cód Proyecto	Nombre Proyecto	Cód Subproyecto	Descripción Subproyecto	Cód Actividad	Descripción Actividad	Secuencia Actividad	Tiene Errores Contab	Tiene Contab Trasnferidas	Cód Inf Trans Inv	Fecha Aplicada Fecha Modificación	Fecha Aplicada Modificada por Usuario
"1,528,362"	WOISS	Emitir para Orden de Trabajo	P02.026.AB0069	ABRAZADERA 1 1/2 (38MM)	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		10	*		3	Orden Trabajo	0.27	0.27	0.27	19/01/2016	12:18:34		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241608		
"1,528,363"	WOISS	Emitir para Orden de Trabajo	P03.006.GA0002	GALVANIZANTE SPRAY	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		10	*		4	Orden Trabajo	26.94	26.94	26.94	19/01/2016	12:18:35		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241608		
"1,528,364"	WOISS	Emitir para Orden de Trabajo	P02.005.PR0239	"PERNO ACERO 3/8 X 1 1/4"""	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	10	*		5	Orden Trabajo	0.2	1.96	1.96	19/01/2016	12:18:35		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241608		
"1,528,365"	WOISS	Emitir para Orden de Trabajo	P02.005.AR0234	ARANDELA PLANA 3/8	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	10	*		6	Orden Trabajo	0.05	0.45	0.45	19/01/2016	12:18:35		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241608		
"1,528,445"	WOISS	Emitir para Orden de Trabajo	P13.009.IN0003	PAÑOS ABSORBENTES DE DERIVADOS DE PETROLEOS	05M-O	TERMOPICHINCHA M-O	*	-	10	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1	01/01/2999	11	*		1	Orden Trabajo	1.28	12.77	12.77	19/01/2016	13:23:12		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241623		
"1,528,446"	WOISS	Emitir para Orden de Trabajo	P02.033.RE0001	RETAZOS - TRAPOS	05M-O	TERMOPICHINCHA M-O	*	-	10	lb				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*	NORMAL	Condición normal.	*	1		11	*		2	Orden Trabajo	2.81	28.11	28.11	19/01/2016	13:23:13		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241623		
"1,528,447"	WOISS	Emitir para Orden de Trabajo	P02.013.FC0072	FOCO AHORRADOR ESPIRAL MINI LYNX 25W	05M-O	TERMOPICHINCHA M-O	*	-	1	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		11	*		3	Orden Trabajo	4.93	4.93	4.93	19/01/2016	13:23:13		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241623		
"1,528,448"	WOISS	Emitir para Orden de Trabajo	P03.023.IN0003	DESENGRASANTE INDUSTRIAL ( BH-38)	05M-O	TERMOPICHINCHA M-O	*	-	3	GALON				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		11	*		4	Orden Trabajo	12.11	36.34	36.34	19/01/2016	13:23:14		VTIXE	19/01/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	241623		
"1,545,682"	ARRIVAL	Recepción de Orden de Compra	P01.020.SE0218	SELLO DE BUJIA 158A5831P001	05M-O	TERMOPICHINCHA M-O	*	+	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	24	1	1	Orden Compra	26.92	53.84	53.84	04/02/2016	17:42:19		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
"1,545,683"	ARRIVAL	Recepción de Orden de Compra	P01.077.DU0003	DETECTOR DE LLAMA 215A4477G001	05M-O	TERMOPICHINCHA M-O	*	+	2	UNIDAD				SRAM0000	SANTA ROSA M-O	SRA01	0	0	0	0	*			*	1		P100041891	25	1	1	Orden Compra	"2,943.82"	"5,887.64"	"5,887.64"	04/02/2016	17:42:20		VTIXE	02/02/2016	N	N		Propiedad Compañía														0	FALSE	TRUE	245359	04/02/2016 17:42	VTIXE
